timestamp,elapsed_s,mcu_tick_ms,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-17 15:47:33.267,0.039,353586,251,1,38.99,19.03,2.049,71.52,0.428,,,,,,,
2026-04-17 15:47:33.317,0.089,353635,252,1,39.09,18.96,2.062,71.52,0.43,,,,,,,
2026-04-17 15:47:33.367,0.14,353686,251,1,39.06,18.89,2.068,71.52,0.429,,,,,,,
2026-04-17 15:47:33.416,0.188,353735,250,1,39.17,18.96,2.066,71.52,0.43,,,,,,,
2026-04-17 15:47:33.467,0.24,353786,251,1,38.99,19.03,2.049,71.52,0.428,,,,,,,
2026-04-17 15:47:33.516,0.289,353835,252,1,39.08,18.96,2.061,71.52,0.429,,,,,,,
2026-04-17 15:47:33.567,0.339,353886,251,1,39.07,18.89,2.068,71.52,0.429,,,,,,,
2026-04-17 15:47:33.616,0.389,353935,250,1,39.19,18.96,2.067,71.52,0.43,,,,,,,
2026-04-17 15:47:33.667,0.44,353986,251,1,38.97,19.03,2.048,71.52,0.428,,,,,,,
2026-04-17 15:47:33.716,0.489,354035,252,1,39.1,18.96,2.062,71.52,0.429,,,,,,,
2026-04-17 15:47:33.768,0.54,354086,251,1,39.07,18.89,2.068,71.52,0.429,,,,,,,
2026-04-17 15:47:33.816,0.589,354135,250,1,39.17,18.96,2.066,71.52,0.43,,,,,,,
2026-04-17 15:47:33.868,0.641,354186,251,1,38.97,19.03,2.048,71.52,0.428,,,,,,,
2026-04-17 15:47:33.917,0.689,354235,252,1,39.08,18.96,2.061,71.52,0.429,,,,,,,
2026-04-17 15:47:33.972,0.744,354286,251,1,39.07,18.89,2.068,71.52,0.429,,,,,,,
2026-04-17 15:47:34.017,0.789,354335,250,1,39.15,18.96,2.065,71.52,0.43,,,,,,,
2026-04-17 15:47:34.068,0.84,354386,251,1,38.97,19.03,2.048,71.52,0.428,,,,,,,
2026-04-17 15:47:34.117,0.889,354435,252,1,39.1,18.96,2.062,71.52,0.43,,,,,,,
2026-04-17 15:47:34.168,0.941,354486,251,1,39.07,18.9,2.068,71.52,0.429,,,,,,,
2026-04-17 15:47:34.217,0.99,354535,250,1,39.2,18.96,2.067,71.52,0.43,,,,,,,
2026-04-17 15:47:34.268,1.041,354586,251,1,38.97,19.03,2.048,71.52,0.428,,,,,,,
2026-04-17 15:47:34.317,1.09,354635,252,1,39.08,18.96,2.061,71.52,0.429,,,,,,,
2026-04-17 15:47:34.368,1.141,354686,251,1,39.07,18.9,2.068,71.52,0.428,,,,,,,
2026-04-17 15:47:34.419,1.192,354737,250,1,39.18,18.97,2.066,71.52,0.43,,,,,,,
2026-04-17 15:47:34.468,1.241,354786,251,1,38.98,19.03,2.048,71.52,0.429,,,,,,,
2026-04-17 15:47:34.519,1.292,354837,252,1,39.08,18.96,2.061,71.52,0.43,,,,,,,
2026-04-17 15:47:34.569,1.341,354886,253,1,39.1,18.9,2.069,71.52,0.429,,,,,,,
2026-04-17 15:47:34.620,1.392,354937,252,1,38.9,18.83,2.066,71.52,0.428,,,,,,,
2026-04-17 15:47:34.669,1.441,354986,251,1,39.04,18.9,2.066,71.52,0.429,,,,,,,
2026-04-17 15:47:34.720,1.492,355037,250,1,39.18,18.97,2.066,71.52,0.431,,,,,,,
2026-04-17 15:47:34.769,1.541,355086,251,1,38.96,19.03,2.047,71.52,0.428,,,,,,,
2026-04-17 15:47:34.820,1.593,355137,252,1,39.08,18.96,2.061,71.52,0.43,,,,,,,
2026-04-17 15:47:34.869,1.642,355186,253,1,39.1,18.9,2.069,71.52,0.428,,,,,,,
2026-04-17 15:47:34.920,1.693,355237,252,1,38.9,18.83,2.066,71.52,0.428,,,,,,,
2026-04-17 15:47:34.969,1.742,355286,251,1,39.04,18.9,2.066,71.52,0.429,,,,,,,
2026-04-17 15:47:35.020,1.792,355337,250,1,39.18,18.97,2.066,71.52,0.431,,,,,,,
2026-04-17 15:47:35.069,1.842,355386,251,1,38.98,19.03,2.048,71.52,0.428,,,,,,,
2026-04-17 15:47:35.120,1.893,355437,252,1,39.09,18.97,2.061,71.52,0.431,,,,,,,
2026-04-17 15:47:35.169,1.942,355486,253,1,39.1,18.9,2.069,71.52,0.429,,,,,,,
2026-04-17 15:47:35.220,1.993,355537,252,1,38.92,18.83,2.067,71.52,0.428,,,,,,,
2026-04-17 15:47:35.269,2.042,355586,251,1,39.04,18.9,2.066,71.52,0.429,,,,,,,
2026-04-17 15:47:35.321,2.093,355637,250,1,39.18,18.96,2.066,71.52,0.431,,,,,,,
2026-04-17 15:47:35.370,2.142,355686,251,1,38.98,19.03,2.048,71.52,0.429,,,,,,,
