timestamp,elapsed_s,mcu_tick_ms,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-17 17:43:38.531,0.013,1121536,182,1,-0.0,0.05,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.582,0.064,1121587,183,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.631,0.113,1121636,184,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.682,0.164,1121687,185,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.731,0.213,1121736,186,1,-0.0,0.04,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.782,0.264,1121787,185,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.831,0.313,1121836,184,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.882,0.364,1121887,183,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.931,0.413,1121936,182,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:38.983,0.465,1121987,181,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.032,0.514,1122036,180,1,-0.0,0.05,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.083,0.565,1122087,181,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.132,0.614,1122136,182,1,-0.0,0.04,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.183,0.665,1122187,181,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.232,0.714,1122236,180,1,-0.0,0.04,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.283,0.765,1122287,179,1,-0.0,0.04,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.332,0.814,1122336,180,1,-0.0,0.04,-0.004,0.03,-0.004,,,,,,,
2026-04-17 17:43:39.383,0.865,1122387,181,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.432,0.914,1122436,182,1,-0.0,0.04,-0.004,0.03,-0.004,,,,,,,
2026-04-17 17:43:39.483,0.965,1122487,183,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.532,1.014,1122536,184,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.583,1.065,1122587,185,1,-0.0,0.04,-0.003,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.632,1.114,1122636,184,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
2026-04-17 17:43:39.683,1.165,1122687,183,1,-0.0,0.04,-0.004,0.03,-0.003,,,,,,,
