timestamp,elapsed_s,mcu_tick_ms,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-20 15:55:23.603,0.154,444,230,1,60.48,59.58,1.015,75.6,0.691,,,,,,,
2026-04-20 15:55:23.804,0.355,644,230,1,60.42,59.58,1.014,75.6,0.692,,,,,,,
2026-04-20 15:55:24.004,0.555,844,230,1,60.42,59.58,1.014,75.6,0.69,,,,,,,
2026-04-20 15:55:24.204,0.755,1044,230,1,60.36,59.58,1.013,75.6,0.69,,,,,,,
2026-04-20 15:55:24.404,0.955,1244,230,1,60.36,59.58,1.013,75.6,0.689,,,,,,,
2026-04-20 15:55:24.605,1.156,1444,230,1,60.36,59.58,1.013,75.6,0.69,,,,,,,
2026-04-20 15:55:24.805,1.356,1644,230,1,60.3,59.58,1.012,75.6,0.689,,,,,,,
2026-04-20 15:55:25.006,1.556,1844,230,1,60.36,59.59,1.013,75.6,0.69,,,,,,,
2026-04-20 15:55:25.206,1.757,2044,230,1,60.24,59.58,1.011,75.6,0.69,,,,,,,
2026-04-20 15:55:25.406,1.957,2244,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:25.607,2.158,2444,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:25.807,2.358,2644,230,1,60.3,59.58,1.012,75.6,0.689,,,,,,,
2026-04-20 15:55:26.007,2.558,2844,230,1,60.3,59.58,1.012,75.6,0.689,,,,,,,
2026-04-20 15:55:26.208,2.758,3044,230,1,60.24,59.58,1.011,75.6,0.689,,,,,,,
2026-04-20 15:55:26.409,2.96,3244,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:26.609,3.16,3444,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:26.808,3.359,3644,230,1,60.36,59.58,1.013,75.6,0.689,,,,,,,
2026-04-20 15:55:27.009,3.559,3844,230,1,60.36,59.58,1.013,75.6,0.69,,,,,,,
2026-04-20 15:55:27.209,3.76,4044,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:27.409,3.96,4244,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:27.610,4.16,4444,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:27.810,4.361,4644,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:28.010,4.561,4844,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:28.210,4.761,5044,230,1,60.42,59.58,1.014,75.6,0.69,,,,,,,
2026-04-20 15:55:28.411,4.962,5244,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
2026-04-20 15:55:28.611,5.162,5444,230,1,60.3,59.58,1.012,75.6,0.69,,,,,,,
