timestamp,elapsed_s,mcu_tick_ms,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-21 16:39:09.966,0.017,574049,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.017,0.068,574100,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.066,0.117,574149,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.117,0.168,574200,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.167,0.217,574249,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.217,0.268,574300,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.410,0.461,574492,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.458,0.509,574541,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.509,0.56,574592,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.559,0.609,574641,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.609,0.66,574692,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.659,0.71,574741,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.710,0.761,574792,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.759,0.81,574841,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:10.954,1.005,575036,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.005,1.056,575087,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.054,1.105,575136,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.106,1.157,575187,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.154,1.205,575236,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.205,1.256,575287,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.255,1.305,575336,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.306,1.356,575387,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.499,1.55,575579,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.547,1.598,575628,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.598,1.649,575679,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.647,1.698,575728,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.698,1.749,575779,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.747,1.798,575828,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.798,1.849,575879,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:11.848,1.899,575928,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.042,2.093,576123,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.094,2.144,576174,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.143,2.194,576223,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.193,2.244,576274,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.243,2.293,576323,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.294,2.345,576374,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
2026-04-21 16:39:12.343,2.394,576423,136,1,79.15,32.98,2.4,71.61,0.983,,,,,,,
