timestamp,elapsed_s,mcu_tick_ms,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-17 17:38:56.153,0.019,839521,181,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.201,0.067,839570,180,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.253,0.119,839621,179,1,-0.0,0.01,-0.004,0.02,-0.004,,,,,,,
2026-04-17 17:38:56.302,0.168,839670,179,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.353,0.219,839721,180,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.402,0.268,839770,181,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.453,0.319,839821,180,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.502,0.368,839870,179,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.553,0.419,839921,180,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.602,0.469,839970,181,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.653,0.519,840021,182,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.702,0.568,840070,183,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.753,0.619,840121,184,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.802,0.668,840170,185,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.854,0.72,840221,186,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.902,0.769,840270,187,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:56.954,0.82,840321,188,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.003,0.869,840370,189,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.055,0.921,840421,188,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.103,0.969,840470,187,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.155,1.021,840521,188,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.203,1.07,840570,189,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.254,1.12,840621,190,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.303,1.169,840670,189,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.354,1.22,840721,188,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.403,1.269,840770,187,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.454,1.321,840821,186,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.503,1.369,840870,185,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.554,1.42,840921,186,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.604,1.47,840970,187,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.655,1.521,841021,186,1,-0.0,0.01,-0.004,0.02,-0.003,,,,,,,
2026-04-17 17:38:57.703,1.57,841070,185,1,-0.0,0.01,-0.003,0.02,-0.003,,,,,,,
