timestamp,elapsed_s,wiper,state,power_in_W,v_in,i_in,v_out,i_out,wiper_status,tc1,cj1,tc2,cj2,tc3,cj3
2026-04-16 21:04:04.917,0.757,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:05.919,1.759,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:06.920,2.76,228,1,36.46,20.46,1.782,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:07.921,3.761,230,1,36.11,20.62,1.751,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:08.922,4.762,228,1,36.46,20.46,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:09.924,5.764,230,1,36.1,20.62,1.751,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:10.924,6.764,228,1,36.45,20.45,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:11.925,7.765,230,1,36.46,20.46,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:12.926,8.766,230,1,36.08,20.62,1.75,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:13.928,9.768,230,1,36.1,20.62,1.751,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:14.929,10.769,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:15.931,11.771,228,1,36.46,20.46,1.782,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:16.931,12.771,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:17.932,13.772,230,1,36.11,20.62,1.751,71.5,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:18.934,14.774,230,1,36.46,20.46,1.782,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:19.935,15.775,230,1,36.11,20.62,1.751,71.5,0.393,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:20.935,16.776,230,1,36.48,20.46,1.783,71.5,0.399,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:21.936,17.776,230,1,36.08,20.62,1.75,71.51,0.393,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:22.937,18.777,230,1,36.48,20.46,1.783,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:23.938,19.778,230,1,36.46,20.46,1.782,71.51,0.399,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:24.940,20.78,230,1,36.46,20.46,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:25.941,21.781,230,1,36.46,20.46,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:26.942,22.782,230,1,36.1,20.62,1.751,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:27.943,23.783,230,1,36.1,20.62,1.751,71.51,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:28.943,24.783,230,1,36.1,20.62,1.751,71.5,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:29.944,25.785,230,1,36.1,20.62,1.751,71.5,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:30.945,26.785,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:31.946,27.786,162,2,7.45,28.2,0.264,71.47,0.027,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:32.947,28.787,172,2,14.78,26.73,0.553,71.47,0.122,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:33.948,29.788,182,2,20.7,25.43,0.814,71.49,0.206,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:34.949,30.789,192,2,25.23,24.24,1.041,71.49,0.256,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:35.950,31.79,202,2,28.93,23.16,1.249,71.49,0.299,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:36.951,32.791,212,2,31.99,22.18,1.442,71.5,0.34,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:37.952,33.792,222,2,34.47,21.28,1.62,71.51,0.373,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:38.953,34.793,230,1,36.48,20.46,1.783,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:39.954,35.794,228,1,36.43,20.46,1.781,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:40.955,36.795,230,1,36.1,20.62,1.751,71.51,0.393,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:41.956,37.796,230,1,36.46,20.46,1.782,71.51,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:42.957,38.797,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:43.958,39.798,230,1,36.48,20.46,1.783,71.5,0.398,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16 21:04:44.959,40.799,230,1,36.13,20.62,1.752,71.5,0.394,0,0.0,0.0,0.0,0.0,0.0,0.0
